DogName,Count,Rank,Date,Set
BELLA,115,1,07/13/2017 12:00:00 AM,1
LUCY,80,2,07/13/2017 12:00:00 AM,1
SADIE,78,3,07/13/2017 12:00:00 AM,1
MAX,76,4,07/13/2017 12:00:00 AM,1
BUDDY,74,5,07/13/2017 12:00:00 AM,1
BAILEY,64,6,07/13/2017 12:00:00 AM,1
CHARLIE,63,7,07/13/2017 12:00:00 AM,1
DAISY,61,8,07/13/2017 12:00:00 AM,1
JACK,59,9,07/13/2017 12:00:00 AM,1
GINGER,58,10,07/13/2017 12:00:00 AM,1
MOLLY,58,10,07/13/2017 12:00:00 AM,1
LILY,56,12,07/13/2017 12:00:00 AM,1
BEAR,51,13,07/13/2017 12:00:00 AM,1
ROXY,50,14,07/13/2017 12:00:00 AM,1
LUNA,49,15,07/13/2017 12:00:00 AM,1
ABBY,48,16,07/13/2017 12:00:00 AM,1
COOPER,47,17,07/13/2017 12:00:00 AM,1
MAGGIE,47,17,07/13/2017 12:00:00 AM,1
ROCKY,46,19,07/13/2017 12:00:00 AM,1
DUKE,43,20,07/13/2017 12:00:00 AM,1
KENAI,42,21,07/13/2017 12:00:00 AM,1
RILEY,42,21,07/13/2017 12:00:00 AM,1
WILLOW,42,21,07/13/2017 12:00:00 AM,1
KODA,38,24,07/13/2017 12:00:00 AM,1
SHADOW,38,24,07/13/2017 12:00:00 AM,1
JAKE,37,26,07/13/2017 12:00:00 AM,1
RUBY,37,26,07/13/2017 12:00:00 AM,1
DENALI,36,28,07/13/2017 12:00:00 AM,1
LADY,36,28,07/13/2017 12:00:00 AM,1
LUCKY,36,28,07/13/2017 12:00:00 AM,1
SOPHIE,36,28,07/13/2017 12:00:00 AM,1
TOBY,36,28,07/13/2017 12:00:00 AM,1
HARLEY,35,33,07/13/2017 12:00:00 AM,1
LOKI,33,34,07/13/2017 12:00:00 AM,1
SAM,32,35,07/13/2017 12:00:00 AM,1
CHLOE,31,36,07/13/2017 12:00:00 AM,1
COCO,31,36,07/13/2017 12:00:00 AM,1
ROSIE,31,36,07/13/2017 12:00:00 AM,1
DIESEL,30,39,07/13/2017 12:00:00 AM,1
BANDIT,28,40,07/13/2017 12:00:00 AM,1
GRACIE,28,40,07/13/2017 12:00:00 AM,1
PENNY,28,40,07/13/2017 12:00:00 AM,1
PIPER,28,40,07/13/2017 12:00:00 AM,1
CODY,27,44,07/13/2017 12:00:00 AM,1
LOLA,27,44,07/13/2017 12:00:00 AM,1
PEPPER,27,44,07/13/2017 12:00:00 AM,1
RUGER,27,44,07/13/2017 12:00:00 AM,1
TUCKER,27,44,07/13/2017 12:00:00 AM,1
BENTLEY,26,49,07/13/2017 12:00:00 AM,1
GUS,26,49,07/13/2017 12:00:00 AM,1
BLUE,25,51,07/13/2017 12:00:00 AM,1
LILLY,25,51,07/13/2017 12:00:00 AM,1
SCOUT,25,51,07/13/2017 12:00:00 AM,1
ZOE,25,51,07/13/2017 12:00:00 AM,1
KODIAK,24,55,07/13/2017 12:00:00 AM,1
YUKON,24,55,07/13/2017 12:00:00 AM,1
BUSTER,23,57,07/13/2017 12:00:00 AM,1
JASPER,23,57,07/13/2017 12:00:00 AM,1
STELLA,23,57,07/13/2017 12:00:00 AM,1
ZOEY,23,57,07/13/2017 12:00:00 AM,1
DAKOTA,22,61,07/13/2017 12:00:00 AM,1
KISKA,22,61,07/13/2017 12:00:00 AM,1
MILO,22,61,07/13/2017 12:00:00 AM,1
MISSY,22,61,07/13/2017 12:00:00 AM,1
MURPHY,22,61,07/13/2017 12:00:00 AM,1
ANNIE,21,66,07/13/2017 12:00:00 AM,1
BELLE,21,66,07/13/2017 12:00:00 AM,1
EMMA,21,66,07/13/2017 12:00:00 AM,1
KONA,21,66,07/13/2017 12:00:00 AM,1
OSCAR,21,66,07/13/2017 12:00:00 AM,1
RAVEN,21,66,07/13/2017 12:00:00 AM,1
SASHA,21,66,07/13/2017 12:00:00 AM,1
ZEUS,21,66,07/13/2017 12:00:00 AM,1
MARLEY,20,74,07/13/2017 12:00:00 AM,1
TITAN,20,74,07/13/2017 12:00:00 AM,1
ATHENA,19,76,07/13/2017 12:00:00 AM,1
ELLIE,19,76,07/13/2017 12:00:00 AM,1
FINN,19,76,07/13/2017 12:00:00 AM,1
FRANKIE,19,76,07/13/2017 12:00:00 AM,1
NALA,19,76,07/13/2017 12:00:00 AM,1
OLIVER,19,76,07/13/2017 12:00:00 AM,1
RANGER,19,76,07/13/2017 12:00:00 AM,1
GEORGE,18,83,07/13/2017 12:00:00 AM,1
MOCHA,18,83,07/13/2017 12:00:00 AM,1
ANGEL,17,85,07/13/2017 12:00:00 AM,1
BAXTER,17,85,07/13/2017 12:00:00 AM,1
CHANCE,17,85,07/13/2017 12:00:00 AM,1
DOZER,17,85,07/13/2017 12:00:00 AM,1
JACKSON,17,85,07/13/2017 12:00:00 AM,1
JAX,17,85,07/13/2017 12:00:00 AM,1
KATIE,17,85,07/13/2017 12:00:00 AM,1
MINNIE,17,85,07/13/2017 12:00:00 AM,1
MOOSE,17,85,07/13/2017 12:00:00 AM,1
OTIS,17,85,07/13/2017 12:00:00 AM,1
SAMMY,17,85,07/13/2017 12:00:00 AM,1
WINSTON,17,85,07/13/2017 12:00:00 AM,1
AURORA,16,97,07/13/2017 12:00:00 AM,1
COPPER,16,97,07/13/2017 12:00:00 AM,1
DEXTER,16,97,07/13/2017 12:00:00 AM,1
LEXI,16,97,07/13/2017 12:00:00 AM,1
LULU,16,97,07/13/2017 12:00:00 AM,1
MIA,16,97,07/13/2017 12:00:00 AM,1
SPARKY,16,97,07/13/2017 12:00:00 AM,1
SUGAR,16,97,07/13/2017 12:00:00 AM,1
THOR,16,97,07/13/2017 12:00:00 AM,1
HUNTER,15,106,07/13/2017 12:00:00 AM,1
JASMINE,15,106,07/13/2017 12:00:00 AM,1
LEO,15,106,07/13/2017 12:00:00 AM,1
LOUIE,15,106,07/13/2017 12:00:00 AM,1
MADDIE,15,106,07/13/2017 12:00:00 AM,1
PEANUT,15,106,07/13/2017 12:00:00 AM,1
GIZMO,14,112,07/13/2017 12:00:00 AM,1
GUNNER,14,112,07/13/2017 12:00:00 AM,1
HENRY,14,112,07/13/2017 12:00:00 AM,1
HOLLY,14,112,07/13/2017 12:00:00 AM,1
KING,14,112,07/13/2017 12:00:00 AM,1
KOBUK,14,112,07/13/2017 12:00:00 AM,1
MISTY,14,112,07/13/2017 12:00:00 AM,1
ODIN,14,112,07/13/2017 12:00:00 AM,1
POPPY,14,112,07/13/2017 12:00:00 AM,1
PRINCESS,14,112,07/13/2017 12:00:00 AM,1
ROSCOE,14,112,07/13/2017 12:00:00 AM,1
SPIKE,14,112,07/13/2017 12:00:00 AM,1
TAZ,14,112,07/13/2017 12:00:00 AM,1
TEDDY,14,112,07/13/2017 12:00:00 AM,1
APOLLO,13,126,07/13/2017 12:00:00 AM,1
BO,13,126,07/13/2017 12:00:00 AM,1
COCOA,13,126,07/13/2017 12:00:00 AM,1
HONEY,13,126,07/13/2017 12:00:00 AM,1
IZZY,13,126,07/13/2017 12:00:00 AM,1
MCKINLEY,13,126,07/13/2017 12:00:00 AM,1
MICKEY,13,126,07/13/2017 12:00:00 AM,1
MILLIE,13,126,07/13/2017 12:00:00 AM,1
OLIVE,13,126,07/13/2017 12:00:00 AM,1
OREO,13,126,07/13/2017 12:00:00 AM,1
SAMPSON,13,126,07/13/2017 12:00:00 AM,1
BOO,12,137,07/13/2017 12:00:00 AM,1
BRODY,12,137,07/13/2017 12:00:00 AM,1
DALLAS,12,137,07/13/2017 12:00:00 AM,1
HAZEL,12,137,07/13/2017 12:00:00 AM,1
RIVER,12,137,07/13/2017 12:00:00 AM,1
ROXIE,12,137,07/13/2017 12:00:00 AM,1
SMOKEY,12,137,07/13/2017 12:00:00 AM,1
BRUTUS,11,144,07/13/2017 12:00:00 AM,1
CALLIE,11,144,07/13/2017 12:00:00 AM,1
CASH,11,144,07/13/2017 12:00:00 AM,1
CHENA,11,144,07/13/2017 12:00:00 AM,1
CHEWY,11,144,07/13/2017 12:00:00 AM,1
DESHKA,11,144,07/13/2017 12:00:00 AM,1
JOEY,11,144,07/13/2017 12:00:00 AM,1
LUKE,11,144,07/13/2017 12:00:00 AM,1
MOJO,11,144,07/13/2017 12:00:00 AM,1
OLLIE,11,144,07/13/2017 12:00:00 AM,1
ONYX,11,144,07/13/2017 12:00:00 AM,1
PORTER,11,144,07/13/2017 12:00:00 AM,1
PRINCE,11,144,07/13/2017 12:00:00 AM,1
RIPLEY,11,144,07/13/2017 12:00:00 AM,1
SCOOTER,11,144,07/13/2017 12:00:00 AM,1
SNICKERS,11,144,07/13/2017 12:00:00 AM,1
SUNNY,11,144,07/13/2017 12:00:00 AM,1
TRIGGER,11,144,07/13/2017 12:00:00 AM,1
XENA,11,144,07/13/2017 12:00:00 AM,1
BENNY,10,163,07/13/2017 12:00:00 AM,1
CALI,10,163,07/13/2017 12:00:00 AM,1
CINNAMON,10,163,07/13/2017 12:00:00 AM,1
COSMO,10,163,07/13/2017 12:00:00 AM,1
DIAMOND,10,163,07/13/2017 12:00:00 AM,1
DUSTY,10,163,07/13/2017 12:00:00 AM,1
HANK,10,163,07/13/2017 12:00:00 AM,1
JUNO,10,163,07/13/2017 12:00:00 AM,1
KAI,10,163,07/13/2017 12:00:00 AM,1
LAYLA,10,163,07/13/2017 12:00:00 AM,1
MAXIMUS,10,163,07/13/2017 12:00:00 AM,1
MAYA,10,163,07/13/2017 12:00:00 AM,1
NELLIE,10,163,07/13/2017 12:00:00 AM,1
OAKLEY,10,163,07/13/2017 12:00:00 AM,1
ROMEO,10,163,07/13/2017 12:00:00 AM,1
RUDY,10,163,07/13/2017 12:00:00 AM,1
RUSTY,10,163,07/13/2017 12:00:00 AM,1
RYDER,10,163,07/13/2017 12:00:00 AM,1
SALLY,10,163,07/13/2017 12:00:00 AM,1
SAMSON,10,163,07/13/2017 12:00:00 AM,1
SANDY,10,163,07/13/2017 12:00:00 AM,1
SITKA,10,163,07/13/2017 12:00:00 AM,1
SNOOPY,10,163,07/13/2017 12:00:00 AM,1
STAR,10,163,07/13/2017 12:00:00 AM,1
SYDNEY,10,163,07/13/2017 12:00:00 AM,1
TANK,10,163,07/13/2017 12:00:00 AM,1
TYSON,10,163,07/13/2017 12:00:00 AM,1
ZEKE,10,163,07/13/2017 12:00:00 AM,1
ZIGGY,10,163,07/13/2017 12:00:00 AM,1
ACE,9,192,07/13/2017 12:00:00 AM,1
ALLIE,9,192,07/13/2017 12:00:00 AM,1
BABY,9,192,07/13/2017 12:00:00 AM,1
BOOMER,9,192,07/13/2017 12:00:00 AM,1
BUBBA,9,192,07/13/2017 12:00:00 AM,1
CHASE,9,192,07/13/2017 12:00:00 AM,1
CHICO,9,192,07/13/2017 12:00:00 AM,1
DIXIE,9,192,07/13/2017 12:00:00 AM,1
HOMER,9,192,07/13/2017 12:00:00 AM,1
HOPE,9,192,07/13/2017 12:00:00 AM,1
KOA,9,192,07/13/2017 12:00:00 AM,1
MIDNIGHT,9,192,07/13/2017 12:00:00 AM,1
REMY,9,192,07/13/2017 12:00:00 AM,1
REX,9,192,07/13/2017 12:00:00 AM,1
RIO,9,192,07/13/2017 12:00:00 AM,1
RUFUS,9,192,07/13/2017 12:00:00 AM,1
SAMANTHA,9,192,07/13/2017 12:00:00 AM,1
SARGE,9,192,07/13/2017 12:00:00 AM,1
SASSY,9,192,07/13/2017 12:00:00 AM,1
SIERRA,9,192,07/13/2017 12:00:00 AM,1
STORMY,9,192,07/13/2017 12:00:00 AM,1
WRIGLEY,9,192,07/13/2017 12:00:00 AM,1
ASPEN,8,214,07/13/2017 12:00:00 AM,1
BONNIE,8,214,07/13/2017 12:00:00 AM,1
CASEY,8,214,07/13/2017 12:00:00 AM,1
CASSIE,8,214,07/13/2017 12:00:00 AM,1
CHICA,8,214,07/13/2017 12:00:00 AM,1
CLEO,8,214,07/13/2017 12:00:00 AM,1
COOKIE,8,214,07/13/2017 12:00:00 AM,1
DELILAH,8,214,07/13/2017 12:00:00 AM,1
DOC,8,214,07/13/2017 12:00:00 AM,1
DOLLY,8,214,07/13/2017 12:00:00 AM,1
FRITZ,8,214,07/13/2017 12:00:00 AM,1
HEIDI,8,214,07/13/2017 12:00:00 AM,1
HERCULES,8,214,07/13/2017 12:00:00 AM,1
ISIS,8,214,07/13/2017 12:00:00 AM,1
JADE,8,214,07/13/2017 12:00:00 AM,1
JOY,8,214,07/13/2017 12:00:00 AM,1
MADDY,8,214,07/13/2017 12:00:00 AM,1
MATTIE,8,214,07/13/2017 12:00:00 AM,1
NINA,8,214,07/13/2017 12:00:00 AM,1
NOVA,8,214,07/13/2017 12:00:00 AM,1
NUGGET,8,214,07/13/2017 12:00:00 AM,1
ODIE,8,214,07/13/2017 12:00:00 AM,1
PHOEBE,8,214,07/13/2017 12:00:00 AM,1
ROCCO,8,214,07/13/2017 12:00:00 AM,1
STANLEY,8,214,07/13/2017 12:00:00 AM,1
TILLY,8,214,07/13/2017 12:00:00 AM,1
TIMBER,8,214,07/13/2017 12:00:00 AM,1
TROOPER,8,214,07/13/2017 12:00:00 AM,1
ABBEY,7,242,07/13/2017 12:00:00 AM,1
AMBER,7,242,07/13/2017 12:00:00 AM,1
