dc_created,marvel_created,more_productive,year
1,0,DC,1935
9,0,DC,1936
4,0,DC,1937
10,0,DC,1938
87,69,DC,1939
285,221,DC,1940
268,207,DC,1941
296,244,DC,1942
212,198,DC,1943
149,134,DC,1944
104,97,DC,1945
99,90,DC,1946
92,72,DC,1947
136,116,DC,1948
68,62,DC,1949
38,29,DC,1950
66,54,DC,1951
31,26,DC,1952
40,39,DC,1953
89,82,DC,1954
55,43,DC,1955
29,16,DC,1956
20,7,DC,1957
17,2,DC,1958
38,4,DC,1959
79,40,DC,1960
134,84,DC,1961
147,105,DC,1962
223,183,DC,1963
205,174,DC,1964
230,180,DC,1965
201,140,DC,1966
180,124,DC,1967
203,142,DC,1968
157,134,DC,1969
160,132,DC,1970
178,113,DC,1971
243,182,DC,1972
265,245,DC,1973
257,240,DC,1974
326,287,DC,1975
353,308,DC,1976
344,292,DC,1977
259,199,DC,1978
265,236,DC,1979
293,257,DC,1980
346,227,DC,1981
327,216,DC,1982
354,193,DC,1983
365,224,DC,1984
369,254,DC,1985
379,247,DC,1986
436,182,DC,1987
590,304,DC,1988
587,321,DC,1989
532,357,DC,1990
505,360,DC,1991
633,455,DC,1992
763,554,DC,1993
715,485,DC,1994
473,301,DC,1995
494,306,DC,1996
523,334,DC,1997
417,274,DC,1998
410,231,DC,1999
474,322,DC,2000
327,228,DC,2001
426,311,DC,2002
360,257,DC,2003
384,282,DC,2004
495,336,DC,2005
684,381,DC,2006
495,307,DC,2007
571,360,DC,2008
528,302,DC,2009
603,324,DC,2010
504,349,DC,2011
206,201,DC,2012
168,167,DC,2013
884,815,DC,""
