band,bandLabel,personLabel,birthDate,deathDate
http://www.wikidata.org/entity/Q189965,Whitesnake,Cozy Powell,1947-12-29T00:00:00Z,1998-04-05T00:00:00Z
http://www.wikidata.org/entity/Q189965,Whitesnake,David Coverdale,1951-09-22T00:00:00Z,
http://www.wikidata.org/entity/Q189965,Whitesnake,Tommy Aldridge,1950-08-15T00:00:00Z,
http://www.wikidata.org/entity/Q189965,Whitesnake,Reb Beach,1963-08-31T00:00:00Z,
http://www.wikidata.org/entity/Q189965,Whitesnake,Jon Lord,1941-06-09T00:00:00Z,2012-07-16T00:00:00Z
http://www.wikidata.org/entity/Q261,Linkin Park,Chester Bennington,1976-03-20T00:00:00Z,2017-07-20T00:00:00Z
http://www.wikidata.org/entity/Q261,Linkin Park,Joseph Hahn,1977-03-15T00:00:00Z,
http://www.wikidata.org/entity/Q261,Linkin Park,Brad Delson,1977-12-01T00:00:00Z,
http://www.wikidata.org/entity/Q189965,Whitesnake,Uriah Duffy,1975-07-31T00:00:00Z,
http://www.wikidata.org/entity/Q189965,Whitesnake,Adrian Vandenberg,1954-01-31T00:00:00Z,
http://www.wikidata.org/entity/Q189965,Whitesnake,Bernie Marsden,1951-05-07T00:00:00Z,
http://www.wikidata.org/entity/Q189965,Whitesnake,Micky Moody,1950-08-30T00:00:00Z,
http://www.wikidata.org/entity/Q261,Linkin Park,Mike Shinoda,1977-02-11T00:00:00Z,
http://www.wikidata.org/entity/Q261,Linkin Park,Phoenix,1977-02-08T00:00:00Z,
http://www.wikidata.org/entity/Q464476,Black Flag,Ron Reyes,1960-07-24T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Ian Anderson,1947-08-10T00:00:00Z,
http://www.wikidata.org/entity/Q251657,UFO,Pete Way,1951-08-07T00:00:00Z,2020-08-14T00:00:00Z
http://www.wikidata.org/entity/Q251657,UFO,Laurence Archer,2000-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q251657,UFO,Phil Mogg,1948-04-15T00:00:00Z,
http://www.wikidata.org/entity/Q251657,UFO,Vinnie Moore,1964-04-14T00:00:00Z,
http://www.wikidata.org/entity/Q261,Linkin Park,Rob Bourdon,1979-01-20T00:00:00Z,
http://www.wikidata.org/entity/Q261,Linkin Park,Scott Koziol,2000-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q271984,Breaking Benjamin,Mark Klepaski,1975-09-11T00:00:00Z,
http://www.wikidata.org/entity/Q271984,Breaking Benjamin,Benjamin Burnley,1978-03-10T00:00:00Z,
http://www.wikidata.org/entity/Q45354,The Doors,Robby Krieger,1946-01-08T00:00:00Z,
http://www.wikidata.org/entity/Q45354,The Doors,John Densmore,1944-12-01T00:00:00Z,
http://www.wikidata.org/entity/Q98033933,Otro Tavella y Los embajadores del buen gusto,Santiago Tavella,1961-07-27T00:00:00Z,
http://www.wikidata.org/entity/Q89063842,Vended,Simon Crahan,2004-01-20T00:00:00Z,
http://www.wikidata.org/entity/Q65742332,Ramen band,Aleksander Raevsky,1984-04-13T00:00:00Z,
http://www.wikidata.org/entity/Q92654328,Classless Act,Franco Gravante,1997-03-18T00:00:00Z,
http://www.wikidata.org/entity/Q92654328,Classless Act,Dane Pieper,1997-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q92654328,Classless Act,Nico Tsangaris,2002-06-17T00:00:00Z,
http://www.wikidata.org/entity/Q92654328,Classless Act,London Hudson,2002-08-28T00:00:00Z,
http://www.wikidata.org/entity/Q464749,Journey,Deen Castronovo,1964-08-17T00:00:00Z,
http://www.wikidata.org/entity/Q464749,Journey,Arnel Pineda,1967-09-05T00:00:00Z,
http://www.wikidata.org/entity/Q464749,Journey,Jonathan Cain,1950-02-26T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,John Evan,1948-03-28T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Mark Craney,1952-08-26T00:00:00Z,2005-11-26T00:00:00Z
http://www.wikidata.org/entity/Q192353,Jethro Tull,Glenn Cornick,1947-04-23T00:00:00Z,2014-08-28T00:00:00Z
http://www.wikidata.org/entity/Q192353,Jethro Tull,Dave Pegg,1947-11-02T00:00:00Z,
http://www.wikidata.org/entity/Q47871,Green Day,Jason White,1973-11-11T00:00:00Z,
http://www.wikidata.org/entity/Q47871,Green Day,Billie Joe Armstrong,1972-02-17T00:00:00Z,
http://www.wikidata.org/entity/Q47871,Green Day,Tré Cool,1972-12-09T00:00:00Z,
http://www.wikidata.org/entity/Q465075,Yellowcard,Ben Harper,1980-11-14T00:00:00Z,
http://www.wikidata.org/entity/Q396,U2,Adam Clayton,1960-03-13T00:00:00Z,
http://www.wikidata.org/entity/Q396,U2,The Edge,1961-08-08T00:00:00Z,
http://www.wikidata.org/entity/Q57138,Within Temptation,Martijn Spierenburg,1975-01-30T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Clive Bunker,1946-12-12T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Barriemore Barlow,1949-09-10T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Jeffrey Hammond,1946-07-30T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Dee Palmer,1937-07-02T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Martin Barre,1946-11-17T00:00:00Z,
http://www.wikidata.org/entity/Q465075,Yellowcard,Ryan Key,1979-12-17T00:00:00Z,
http://www.wikidata.org/entity/Q465075,Yellowcard,Josh Portman,1979-10-26T00:00:00Z,
http://www.wikidata.org/entity/Q465757,Verdena,Luca Ferrari,1981-05-28T00:00:00Z,
http://www.wikidata.org/entity/Q465075,Yellowcard,Ryan Mendez,1980-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q465075,Yellowcard,Sean Mackin,1979-04-30T00:00:00Z,
http://www.wikidata.org/entity/Q465757,Verdena,Roberta Sammarelli,1979-05-03T00:00:00Z,
http://www.wikidata.org/entity/Q72092,Rage Against the Machine,Zack de la Rocha,1970-01-12T00:00:00Z,
http://www.wikidata.org/entity/Q72092,Rage Against the Machine,Tom Morello,1964-05-30T00:00:00Z,
http://www.wikidata.org/entity/Q72092,Rage Against the Machine,Brad Wilk,1968-09-05T00:00:00Z,
http://www.wikidata.org/entity/Q57138,Within Temptation,Robert Westerholt,1975-01-02T00:00:00Z,
http://www.wikidata.org/entity/Q57138,Within Temptation,Jeroen van Veen,1974-10-26T00:00:00Z,
http://www.wikidata.org/entity/Q57138,Within Temptation,Sharon den Adel,1974-07-12T00:00:00Z,
http://www.wikidata.org/entity/Q473466,Paramore,Josh Farro,1987-09-29T00:00:00Z,
http://www.wikidata.org/entity/Q473466,Paramore,Zac Farro,1990-06-04T00:00:00Z,
http://www.wikidata.org/entity/Q473466,Paramore,Jeremy Davis,1985-02-08T00:00:00Z,
http://www.wikidata.org/entity/Q61236,The New Pornographers,Blaine Thurier,1967-01-01T00:00:00Z,
