character,universe,property_name,value
abraham_dusk,wildstorm_universe,gender,male
accelerated_man,earth_,gender,male
ahn_kwang_jo,prime_earth,gender,male
alec_holland,lego_batman,gender,male
alec_holland,prime_earth,gender,male
alexander_fairchild,wildstorm_universe,gender,male
alexander_luthor,smallville,gender,male
alexander_staunton,prime_earth,gender,male
alexander_trent,new_earth,gender,male
alonzo_malrey,new_earth,gender,male
alton_carver,prime_earth,gender,male
andrew_pulaski,prime_earth,gender,male
anissa_pierce,black_lightning_tv_series,gender,female
antiope,tempest_tossed,gender,female
apollo,wildstorm_universe,gender,male
aquaman,arthur_curry,gender,male
ares,wonder_woman_movie,gender,male
aristides_demetrios,new_earth,gender,male
artemis,wildstorm_universe,gender,female
arthur_curry,dc_animated_movie_universe,gender,male
asmodel,new_earth,gender,male
aten,new_earth,gender,male
atropos,arrowverse,gender,female
august_heart,arrowverse,gender,male
august_heart,prime_earth,gender,male
augustus_freeman,dakotaverse,gender,male
auron,new_earth,gender,male
avery_ho,future_state,gender,female
balam,prime_earth,gender,male
bane,dc_animated_movie_universe,gender,male
bane,dcau,gender,male
bane,harley_quinn_tv_series,gender,male
bane,hero_run,gender,male
bane,new_earth,gender,male
bane,prime_earth,gender,male
bar_torr,prime_earth,gender,male
baron_reiter,arrowverse,gender,male
barry_allen,arrowverse,gender,male
barry_allen,blackest_day,gender,male
barry_allen,dc_animated_movie_universe,gender,male
barry_allen,dc_extended_universe,gender,male
barry_allen,dc_legends,gender,male
barry_allen,dc_super_hero_girls_tv_series,gender,male
barry_allen,dc_super_hero_girls,gender,male
barry_allen,dc_universe_online,gender,male
barry_allen,dcau,gender,male
barry_allen,dceased,gender,male
barry_allen,doom,gender,male
barry_allen,earth_,gender,male
barry_allen,flash_tv_series,gender,male
barry_allen,flashpoint_paradox,gender,male
barry_allen,future_state,gender,male
barry_allen,futures_end,gender,male
barry_allen,harley_quinn_tv_series,gender,male
barry_allen,hero_run,gender,male
barry_allen,injustice,gender,male
barry_allen,justice_league_action,gender,male
barry_allen,lego_batman,gender,male
barry_allen,lego_dc_heroes,gender,male
barry_allen,lil_gotham,gender,male
barry_allen,man_of_tomorrow,gender,male
barry_allen,mortal_kombat_vs_dc_universe,gender,male
barry_allen,new_earth,gender,male
barry_allen,once_and_future,gender,male
barry_allen,the_batman_tv_series,gender,male
barry_allen,the_brave_and_the_bold,gender,male
barry_allen,the_nail,gender,male
barry_allen,the_new_order,gender,male
barry_allen,tiny_titans,gender,male
bart_allen,dc_universe_online,gender,male
bart_allen,dcau,gender,male
bart_allen,dceased,gender,male
bart_allen,earth_,gender,male
bart_allen,future_state,gender,male
bart_allen,injustice,gender,male
bart_allen,lego_batman,gender,male
bart_allen,new_earth,gender,male
bart_allen,prime_earth,gender,male
bart_allen,smallville,gender,male
bart_allen,titans_tomorrow,gender,male
bart_allen,world_without_young_justice,gender,male
bart_allen_clone,titans_tomorrow,gender,male
bekka,gods_and_monsters,gender,female
bekka,new_earth,gender,female
benjamin_orchard,prime_earth,gender,male
bertok_raaf,prime_earth,gender,female
bigby_wolf,fables,gender,male
bilbat,earth_s,gender,male
billy_batson,dc_animated_movie_universe,gender,male
billy_batson,dc_extended_universe,gender,male
billy_batson,dcau,gender,male
billy_batson,earth_,gender,male
billy_batson,earth_s,gender,male
billy_batson,futures_end,gender,male
billy_batson,justice,gender,male
billy_batson,legends_of_the_superheroes,gender,male
billy_batson,magic_of_shazam,gender,male
billy_batson,mortal_kombat_vs_dc_universe,gender,male
billy_batson,new_earth,gender,male
billy_batson,return_of_black_adam,gender,male
billy_batson,shazam_isis_hour,gender,male
billy_batson,the_brave_and_the_bold,gender,male
billy_batson,tiny_titans,gender,male
bleez,prime_earth,gender,female
bonny_hoffman,prime_earth,gender,female
brain_interactive_construct,smallville,gender,male
brainiac_,new_earth,gender,female
branca,new_earth,gender,male
brion_markov,new_earth,gender,male
bryan_mallory,legends_of_the_dead_earth,gender,male
bryce_wayne,earth_,gender,female
buffy_sanders,smallville,gender,female
cain,lucifer_tv_series,gender,male
caitlin_snow,arrowverse,gender,female
caleb_green,arrowverse,gender,male
calvin_rose,prime_earth,gender,male
