power,gender,total,p,rank
superhuman_strength,female,15143,0.0826784652974972,1
flight,female,15143,0.05679191705738625,2
superhuman_durability,female,15143,0.05507495212309318,3
superhuman_stamina,female,15143,0.04893350062735257,4
superhuman_agility,female,15143,0.04015056461731493,5
immortality,female,15143,0.03836756257016443,6
superhuman_speed,female,15143,0.0339430760087169,7
divine_empowerment,female,15143,0.026150696691540645,8
superhuman_reflexes,female,15143,0.023377137951528758,9
unique_physiology,female,15143,0.023179026612956483,10
energy_projection,female,15143,0.023112989500099056,11
magic,female,15143,0.02304695238724163,12
enhanced_vision,female,15143,0.021726210130093113,13
enhanced_intellect,female,15143,0.02000924519580004,14
telepathy,female,15143,0.0188866142772238,15
self_sustenance,female,15143,0.018028131810077265,16
invulnerability,female,15143,0.01604701842435449,17
enhanced_hearing,female,15143,0.015914944198639636,18
metamorphosis,female,15143,0.015584758634352507,19
energy_absorption,female,15143,0.015188535957207951,20
enhanced_senses,female,15143,0.013735719474344581,21
thermal_blast,female,15143,0.013669682361487155,22
decelerated_aging,female,15143,0.013075348345770323,23
teleportation,female,15143,0.012018754540051508,24
claws,female,15143,0.011952717427194084,25
alien_physiology,female,15143,0.011226309185762399,26
transformation,female,15143,0.010367826718615861,27
telekinesis,female,15143,0.009839529815756455,28
size_alteration,female,15143,0.00898104734860992,29
mind_control,female,15143,0.008584824671465364,30
phasing,female,15143,0.008584824671465364,31
accelerated_healing,female,15143,0.008518787558607938,32
pyrokinesis,female,15143,0.00832067622003566,33
super_breath,female,15143,0.00832067622003566,34
force_field,female,15143,0.008254639107178234,35
illusion_casting,female,15143,0.008122564881463382,36
regeneration,female,15143,0.007330119527174272,37
cybernetic_enhancement,female,15143,0.006141451495740607,38
sound_manipulation,female,15143,0.005547117480023773,39
energy_construct_creation,female,15143,0.005481080367166348,40
possession,female,15143,0.005216931915736644,41
amphibian,female,15143,0.0051508948028792184,42
elasticity,female,15143,0.0051508948028792184,43
invisibility,female,15143,0.005084857690021792,44
precognition,female,15143,0.005084857690021792,45
psychic_link,female,15143,0.005084857690021792,46
echolocation,female,15143,0.005018820577164366,47
electrokinesis,female,15143,0.005018820577164366,48
atlantean_physiology,female,15143,0.004886746351449514,49
water_sense,female,15143,0.004820709238592089,50
psychokinesis,female,15143,0.004754672125734663,51
hydrokinesis,female,15143,0.004688635012877237,52
chlorokinesis,female,15143,0.004622597900019811,53
empathy,female,15143,0.004622597900019811,54
dimensional_travel,female,15143,0.004556560787162385,55
hypnosis,female,15143,0.004556560787162385,56
aerokinesis,female,15143,0.004292412335732682,57
astral_projection,female,15143,0.004292412335732682,58
healing,female,15143,0.00416033811001783,59
