character,universe,page_length
abraham_dusk,wildstorm_universe,360879
accelerated_man,earth_19,361310
ahn_kwang_jo,prime_earth,390275
alec_holland,lego_batman,368585
alec_holland,prime_earth,401822
alexander_fairchild,wildstorm_universe,370234
alexander_luthor,smallville,440525
alexander_staunton,prime_earth,359330
alexander_trent,new_earth,370103
alonzo_malrey,new_earth,353685
alton_carver,prime_earth,361934
andrew_pulaski,prime_earth,373190
anissa_pierce,black_lightning_tv_series,363693
antiope,tempest_tossed,383116
apollo,wildstorm_universe,388501
aquaman,arthur_curry,656008
ares,wonder_woman_2_9_movie,366030
aristides_demetrios,new_earth,371933
artemis,wildstorm_universe,360833
arthur_curry,dc_animated_movie_universe,417454
asmodel,new_earth,374850
aten,new_earth,347429
atropos,arrowverse,368080
august_heart,arrowverse,365185
august_heart,prime_earth,486705
augustus_freeman,dakotaverse,400393
auron,new_earth,367113
avery_ho,future_state,368405
balam,prime_earth,352874
bane,dc_animated_movie_universe,371967
bane,dcau,377700
bane,harley_quinn_tv_series,370536
bane,hero_run,355969
bane,new_earth,439288
bane,prime_earth,428155
bar_torr,prime_earth,391473
baron_reiter,arrowverse,376564
barry_allen,arrowverse,444667
barry_allen,blackest_day,374353
barry_allen,dc_animated_movie_universe,373229
barry_allen,dc_extended_universe,380271
barry_allen,dc_legends,373346
barry_allen,dc_super_hero_girls_tv_series,367848
barry_allen,dc_super_hero_girls,360883
barry_allen,dc_universe_online,365691
barry_allen,dcau,362848
barry_allen,dceased,376746
barry_allen,doom,368850
barry_allen,earth_12,362763
barry_allen,earth_22,365128
barry_allen,earth_44,364325
barry_allen,earth_52,364861
barry_allen,earth_43,364233
barry_allen,earth_149,366662
barry_allen,earth_21,373971
barry_allen,earth_31,367617
barry_allen,earth_32,369355
barry_allen,earth_3839,364887
barry_allen,earth_5_8,360462
barry_allen,earth_51,365165
barry_allen,flash_199_tv_series,377955
barry_allen,flashpoint_paradox,375691
barry_allen,future_state,391433
barry_allen,futures_end,364992
barry_allen,harley_quinn_tv_series,366209
barry_allen,hero_run,359952
barry_allen,injustice,426255
barry_allen,justice_league_action,365964
barry_allen,lego_batman,371400
barry_allen,lego_dc_heroes,364698
barry_allen,lil_gotham,366125
barry_allen,man_of_tomorrow,370203
barry_allen,mortal_kombat_vs_dc_universe,361912
barry_allen,new_earth,523057
barry_allen,once_and_future,367556
barry_allen,the_batman_tv_series,369739
barry_allen,the_brave_and_the_bold,366358
barry_allen,the_nail,363659
barry_allen,the_new_order,356791
barry_allen,tiny_titans,366198
bart_allen,dc_universe_online,364750
bart_allen,dcau,366219
bart_allen,dceased,366088
bart_allen,earth_16,372258
bart_allen,earth_5_8,362006
bart_allen,future_state,367739
bart_allen,injustice,365821
bart_allen,lego_batman,370151
bart_allen,new_earth,547227
bart_allen,prime_earth,406106
bart_allen,smallville,389429
bart_allen,titans_tomorrow,366748
bart_allen,world_without_young_justice,367457
bart_allen_clone,titans_tomorrow,390666
bekka,gods_and_monsters,376784
bekka,new_earth,363824
benjamin_orchard,prime_earth,357022
bertok_raaf,prime_earth,359528
bigby_wolf,fables,384441
bilbat,earth_s,365177
billy_batson,dc_animated_movie_universe,374551
billy_batson,dc_extended_universe,383270
billy_batson,dcau,385440
billy_batson,earth_5,378572
billy_batson,earth_16,377752
billy_batson,earth_21,362757
billy_batson,earth_22,380439
billy_batson,earth_31,374237
billy_batson,earth_5,382055
billy_batson,earth_s,399526
billy_batson,futures_end,374541
billy_batson,justice,369360
billy_batson,legends_of_the_superheroes,369979
billy_batson,magic_of_shazam,374615
billy_batson,mortal_kombat_vs_dc_universe,378649
billy_batson,new_earth,409286
billy_batson,return_of_black_adam,367363
billy_batson,shazam_isis_hour,366273
billy_batson,the_brave_and_the_bold,381726
billy_batson,tiny_titans,370732
bleez,prime_earth,400190
bonny_hoffman,prime_earth,357932
brain_interactive_construct,smallville,418527
brainiac_8,new_earth,389150
branca,new_earth,359818
brion_markov,new_earth,402306
bryan_mallory,legends_of_the_dead_earth,359466
bryce_wayne,earth_11,402049
buffy_sanders,smallville,358105
cain,lucifer_tv_series,360420
caitlin_snow,arrowverse,387205
caleb_green,arrowverse,359248
calvin_rose,prime_earth,378587
captain_swift,earth_twelve,359871
carmen_leno,prime_earth,357502
carrie_allen,earth_3839,364528
carter_hall,dc_universe_online,377551
carter_hall,new_earth,424673
carter_hall,prime_earth,402198
cassandra_sandsmark,prime_earth,459255
caveman_flash,prime_earth,359309
cece_beck,post_zero_hour,373971
charlotte_gage_radcliffe,new_earth,389664
cherub,new_earth,364268
choronzon,new_earth,355076
cinderella,fables,356359
clotho,arrowverse,372228
cole_cash,wildstorm_universe,415176
colin_wilkes,new_earth,355944
composite_swamp_thing,prime_earth,363528
condor,prime_earth,362334
corum_rath,prime_earth,403231
cyrus_gold,arkhamverse,363277
daemonites,daemonite,386355
damian_wayne,batman_in_bethlehem,394811
damien_darhk,arrowverse,403472
danica_williams,dcau,366949
daniel_cassidy,dcau,360733
daniel_cassidy,dceased,359915
daniel_cassidy,new_earth,408746
daniel_cassidy,prime_earth,366834
daniel_west,dc_legends,361390
darkseid,dcau,391027
david_hersch,new_earth,370847
david_isherwood,prime_earth,371298
david_kim,dakotaverse,365577
david_mathis,earth_1,364827
dawn_allen,new_earth,435189
dawn_allen,prime_earth,362699
deathstroke,antimatter_universe,350622
deborah_dancer,prime_earth,364339
decadence,wildstorm_universe,370151
defile,wildstorm_universe,382339
derek_james,prime_earth,377144
derek_sampson,arrowverse,371023
