X1,X2,character
-14.411784,36.748726,ahn_kwang_jo
-18.886618,10.526183,alec_holland
10.025727,28.609425,alexander_staunton
9.579065,27.7481,alton_carver
-4.706544,19.342472,andrew_pulaski
-4.1299357,52.40305,august_heart
18.797014,15.703846,balam
-5.4921136,42.802082,bane
-5.8457036,50.109787,bar_torr
-4.3341074,52.819412,bart_allen
23.79737,-3.5030043,benjamin_orchard
18.797958,15.701974,bertok_raaf
-10.802219,27.650507,bleez
11.302553,21.776949,bonny_hoffman
10.045245,28.60974,calvin_rose
11.284536,21.760052,carmen_leno
7.3178544,25.640802,carter_hall
8.440421,40.83013,cassandra_sandsmark
-6.1412807,51.71863,caveman_flash
-18.887129,10.526518,composite_swamp_thing
-11.210865,41.45504,condor
-47.06687,22.3017,corum_rath
6.913378,30.593033,daniel_cassidy
-4.6584473,11.67123,david_isherwood
-5.938173,51.131798,dawn_allen
-5.84379,44.860188,deborah_dancer
3.8984218,41.62581,derek_james
-5.819305,51.658257,don_allen
-4.36012,39.98413,eddie_bloodlines
-6.0782623,51.71332,edward_clariss
10.055047,28.647167,ephraim_newhouse
-4.1788316,42.73948,ethan_avery
-19.78965,27.542671,etrigan
1.7379756,31.836586,fahai
6.5732303,28.852562,felix_harmon
14.237981,16.36999,first_born
-47.203064,25.02992,garth
9.730339,20.162281,grant_wilson
-0.2112518,45.86557,helspont
10.546179,21.100922,henry_ballard
-10.563255,41.04884,henry_hall
-2.0135396,-5.828266,idamm
-5.7433953,51.61152,iris_west_ii
-6.1801724,51.161633,ivana_molotova
-6.1608157,51.17528,jai_west
-5.7267804,51.15137,jenni_ognats
-6.329509,51.43096,jesse_chambers
-5.2298307,51.602238,jonathan_chambers
-29.081621,35.06733,jonathan_samuel_kent
-4.6569166,29.076618,joseph_chamberlain
7.324522,25.6505,kendra_saunders
-5.718716,51.256577,killspeed
-2.6581259,37.986145,knockout
-31.551975,38.411983,kon_el
9.143406,29.348475,lennox
-5.695487,42.37988,lincoln_march
-0.29477486,31.376778,lion_mane
8.955549,29.487268,lord_beyond_the_void
6.390847,8.993045,mari_mccabe
10.564089,-16.373219,mary_turner
-18.888002,10.523943,matthew_cable
3.704764,41.694187,maxine_baker
10.063967,28.603949,mei_ling
-6.379113,33.785446,midnighter
-2.8164928,-13.735646,mitchell_shelley_ii
-14.268459,14.491306,mongul
9.502855,-15.265871,morphicius
-46.34453,24.692915,nereus
14.591587,-18.995504,nix_uotan
-11.025187,41.02226,oliver_truly
-45.999153,25.690838,orm_marius
6.6379285,28.143545,percival_edmund_chang
-4.6865306,19.303474,power_boy
6.5912576,28.884743,robert_castro
-6.1107883,41.933052,rose_tattoo
-5.815396,43.06477,rose_wilson
-4.3262243,50.293926,savitar
-6.08311,45.299473,slade_wilson
-7.7251515,34.06921,sofia_ramos
23.794563,-3.4852498,talon_of
9.870915,43.70273,teth_adam
-0.21171606,45.865185,tsavo
9.687452,27.247955,unknown_soldier
10.525619,-16.358313,uriah_boone
9.81718,31.179455,vandar_adg
-26.501291,-9.5375595,virgil_hawkins
-3.7682354,51.61623,wallace_r_west
12.008452,-17.904367,walter_stapleton
10.565062,-16.363943,xiao_loong
-4.985353,39.77569,xiomara_rojas
-6.1596355,30.715645,celine_patterson
-2.7380357,51.614037,avery_ho
-3.456685,49.15445,black_flash
-9.068624,-14.10341,blue_condor
-21.446402,-17.16427,cloud
-21.530012,-17.114067,david_drake
26.712406,-1.2715846,drogue
4.6326017,38.18993,jason
4.974493,-6.8982563,joseph_carver
4.225155,2.8088422,lithium
-23.289225,-10.181556,maelstrom
-2.7922158,51.599075,meena_dhawan
-9.184334,36.717915,monkey_prince
-20.924385,-18.05985,nightstorm
-16.899397,-14.11312,red_tornado
-17.571182,-13.982746,robinson_goode
4.383146,-6.5819597,roscoe_dillon
4.4399285,-6.5616755,roscoe_hynes
5.296737,-6.095584,samuel_song
1.9024955,-2.156978,shifu_pigsy
-22.356346,-10.773941,siracca
-20.881227,-18.269573,strato
-6.700389,4.439699,abysmus
-2.1935875,4.3071957,arak
1.855275,0.5670935,argent
-7.105066,5.4304204,arkillo
-4.8465533,-0.6526357,artredis_qon
-19.954807,27.241697,atros
-10.676558,-4.2376103,augustus_freeman
-7.9427056,-1.3691316,b_dg
-8.948631,7.0976973,belzebeth
-6.330631,6.5736427,bolphunga
-8.777169,-1.150666,bro_dee_walker
-8.396529,24.174658,brutus
9.926427,10.236895,caliban
-6.618847,-1.9523877,calleen
-5.93378,7.3062463,charis_nar
-11.763609,29.164417,chun_yull
-8.640114,-0.42202657,cobi
-8.81089,1.3967915,dawg
-4.7633014,4.2717896,death_kraken
-22.919865,6.8779,despero
31.3153,-0.20366703,entropy
25.267847,-10.931462,first_of_the_fallen
-4.683936,3.7117379,flood
-5.070576,-0.2928662,g_nort
9.538193,9.9612,gall
-7.635285,5.226474,gleek
-22.923752,6.844668,h_i_v_e_queen
-7.0909333,5.563454,herkimer
-9.499448,28.826685,invictus
-8.527489,-1.5290793,itro
-11.96901,-7.192344,jarro
-10.267384,-3.9017217,jayna
-5.118513,38.385227,jochi
-7.9394093,-0.70617163,kaja_dox
-12.242601,-24.558723,kathy_branden
-11.469511,-3.8310924,keeg_bovo
-10.013268,0.76278645,kellic
-8.765167,-0.9540891,kirk_quentin
-29.031155,34.912437,krypto
-20.257277,26.838213,larfleeze
-11.846466,-3.7085483,linnya_wazzo
-9.959159,-4.960016,loma_shade
27.835121,18.049875,lucifer_morningstar
-8.301895,-1.0568441,lyssa_drak
-9.0062275,6.9191084,marta_of_thronn
-9.815028,27.177168,maxima
-6.826349,27.145742,maxima_ii
-26.072456,-13.542028,mogo
31.314959,-0.20345783,mystery
28.051363,-13.802274,osiris
-10.295517,28.909714,peraxxus
-7.2649665,27.055283,perrilus
-8.167064,-0.45722762,primaa
-6.8741083,-2.745283,raga
-5.806445,-5.755381,raguel
-7.2653265,27.041433,reign
-19.846449,-7.1711617,rendll
-5.9350014,7.4181566,rogol_zaar
-10.267471,28.871408,roho
-11.567272,-0.7139146,romgan_shay
-7.898764,-1.3692904,saysoran
-8.5460005,-2.6596222,sheko
-11.724632,1.9829837,shepherd_ii
0.75217056,6.904643,singularity_jain
-6.8983436,-0.89689577,skorch
-8.649661,-0.5825464,snow
-29.491587,36.666767,sodam_yat
-7.809632,21.01572,splyce
-11.0085945,-4.9489155,sssearr
-7.8409615,-3.729046,star_adam
-8.688401,-1.3168198,starbreaker
-10.663981,-4.215897,syl_khee
-11.567301,-0.71726906,tallahe
28.312374,-14.005149,tempus_fuginaut
-11.568585,1.7078607,thao_la
-5.8660836,35.14534,toghurrhu
-8.882392,-0.622516,toris
-10.268401,28.89297,tsavo_ii
21.493176,-4.1903887,tyyde
-6.8841224,0.12056466,ultra
-4.4823685,-26.699707,ultra_humanite
-7.971229,-0.5828759,ultraa
-26.256544,-14.040175,umbrax
-10.7644205,7.2660885,vanessa_volt
-7.6423893,8.891041,vartox
-10.117969,-0.7310223,vax
-8.28784,-1.5394372,victoria_viceroy
-9.785794,-1.9160867,weird
31.316364,-0.20196097,wisdom
31.315474,-0.20450932,wonder
-7.8027735,26.822718,worldkiller
-10.023503,9.649137,wraith
-7.933034,-0.96505886,xanthos
-7.049751,5.450943,yrra_cynril
-4.6532636,0.38896412,z_kran_z_rann
-7.4705653,1.1488838,zan
-9.817534,6.054947,zazzala
-6.0766797,8.274094,zeus
8.306865,-1.8450723,andrina_curry
-14.523447,44.374535,arni_ajar
-41.095844,20.683962,atlan
-17.886969,-16.806654,caille
-13.330756,5.413432,coombs
-15.216741,35.14322,david_hyde
-42.066006,21.415247,fin
-14.238124,35.44292,gole
-7.4274516,38.60329,grace_balin
8.271392,-1.8672886,guppy
-38.385143,26.77425,jackson_hyde
-14.171269,35.521065,jaffar
-14.497375,44.38178,jonah_payne
-7.8529115,39.521267,kamo
2.564934,30.488588,karaqan
-7.608668,39.146435,karshon
5.5635757,16.800844,king_sturgeon
-41.452084,21.116537,kordax
-14.073862,35.42979,kurin
-14.524644,44.376583,laurence_quinn
1.7653689,15.15712,leander_brent
7.1737394,15.926159,lernaea
-0.7521814,-18.119625,marlene_simmonds
-47.30549,23.71414,mera
-7.5283666,39.206814,nanaue
7.807025,-2.1751332,nina_mazursky
-14.5373535,44.37589,peter_mortimer
-14.064531,35.530224,shaligo
-14.081114,35.457253,slig
30.93798,-8.912808,tangaroa
-38.341503,26.780369,trench_king
-38.339367,26.780958,trench_queen
-14.158857,35.471203,trok
-14.691066,-2.1435316,algorithm
15.781746,-22.208202,amazo
-9.174985,22.69574,brainiac
-12.135275,10.330866,eradicator_ii
-11.690767,31.01077,j_a_k_e
-11.362585,26.486586,mazra_p_thrall_ii
-10.1210575,25.762135,oracle_iii
-11.486513,32.272263,puzzler
-44.543804,21.403608,atlanna
-22.931465,-23.910019,bernhard_baker
-22.91998,-23.938242,jayden_revell
-44.62653,22.060946,lagoon_boy
-8.048442,35.77795,rizzo_rattama
-18.414387,35.990173,abraham_langstrom
-13.642138,-14.956711,aerie
12.058472,-39.586803,clytemnestra
-0.49304312,14.426425,dominic_mndawe
-18.413795,35.988274,kirk_langstrom
