character,universe,property_name,value
ahn_kwang_jo,prime_earth,real_name,ahn_kwang_jo
ahn_kwang_jo,prime_earth,main_alias,dragonson
ahn_kwang_jo,prime_earth,other_aliases,aqua_man_aqua_man_of_north_korea
ahn_kwang_jo,prime_earth,relatives,king_munmu_father
ahn_kwang_jo,prime_earth,affiliation,justice_league_of_china
ahn_kwang_jo,prime_earth,alignment,good
ahn_kwang_jo,prime_earth,identity,public_identity
ahn_kwang_jo,prime_earth,citizenship,north_korean
ahn_kwang_jo,prime_earth,marital_status,single
ahn_kwang_jo,prime_earth,occupation,adventurer_former_student
ahn_kwang_jo,prime_earth,gender,male
ahn_kwang_jo,prime_earth,eyes,brown
ahn_kwang_jo,prime_earth,hair,black
ahn_kwang_jo,prime_earth,universe,prime_earth
ahn_kwang_jo,prime_earth,creators,gene_luen_yang_brent_peeples
alec_holland,prime_earth,real_name,alec_mcginn_birth_name_dr_alec_holland_legal_name
alec_holland,prime_earth,main_alias,swamp_thing
alec_holland,prime_earth,relatives,lloyd_mcginn_father_deceased_unnamed_mothermr_holland_stepfather_linda_holland_wife_deceased
alec_holland,prime_earth,affiliation,the_green_formerly_parliament_of_trees_justice_league_united_justice_league_dark_justice_league_lords_of_chaos
alec_holland,prime_earth,base_of_operations,hall_of_justice_washington_d_c_formerly_houma_louisiana
alec_holland,prime_earth,alignment,good
alec_holland,prime_earth,identity,secret_identity
alec_holland,prime_earth,citizenship,american
alec_holland,prime_earth,marital_status,widowed
alec_holland,prime_earth,occupation,avatar_of_the_the_green_former_scientist
alec_holland,prime_earth,gender,male
alec_holland,prime_earth,height,variable
alec_holland,prime_earth,weight,variable
alec_holland,prime_earth,eyes,red_green_formerly
alec_holland,prime_earth,hair,no_hair_blond_formerly
alec_holland,prime_earth,skin,green
alec_holland,prime_earth,universe,prime_earth
alec_holland,prime_earth,creators,len_wein_bernie_wrightson
alexander_staunton,prime_earth,real_name,alexander_staunton
alexander_staunton,prime_earth,main_alias,talon
alexander_staunton,prime_earth,affiliation,court_of_owls
alexander_staunton,prime_earth,base_of_operations,gotham_city
alexander_staunton,prime_earth,alignment,bad
alexander_staunton,prime_earth,identity,secret_identity
alexander_staunton,prime_earth,citizenship,american
alexander_staunton,prime_earth,marital_status,single
alexander_staunton,prime_earth,occupation,assassin
alexander_staunton,prime_earth,gender,male
alexander_staunton,prime_earth,universe,prime_earth
alexander_staunton,prime_earth,creators,judd_winick_marcus_to
alton_carver,prime_earth,real_name,alton_carver
alton_carver,prime_earth,main_alias,talon
alton_carver,prime_earth,affiliation,court_of_owls
alton_carver,prime_earth,base_of_operations,gotham_city
alton_carver,prime_earth,alignment,bad
alton_carver,prime_earth,identity,secret_identity
alton_carver,prime_earth,citizenship,american
alton_carver,prime_earth,marital_status,single
alton_carver,prime_earth,occupation,assassin
alton_carver,prime_earth,gender,male
alton_carver,prime_earth,eyes,grey
alton_carver,prime_earth,hair,black
alton_carver,prime_earth,universe,prime_earth
alton_carver,prime_earth,creators,scott_snyder_greg_capullo
andrew_pulaski,prime_earth,real_name,andrew_pulaski
andrew_pulaski,prime_earth,main_alias,apollo
andrew_pulaski,prime_earth,relatives,midnighter_domestic_partner
andrew_pulaski,prime_earth,affiliation,stormwatch_justice_league_queer
andrew_pulaski,prime_earth,base_of_operations,eye_of_the_storm
andrew_pulaski,prime_earth,alignment,good
andrew_pulaski,prime_earth,identity,secret_identity
andrew_pulaski,prime_earth,marital_status,single
andrew_pulaski,prime_earth,gender,male
andrew_pulaski,prime_earth,eyes,blue
andrew_pulaski,prime_earth,hair,blond
andrew_pulaski,prime_earth,universe,prime_earth
andrew_pulaski,prime_earth,creators,warren_ellis_bryan_hitch
august_heart,prime_earth,real_name,august_heart
august_heart,prime_earth,main_alias,godspeed
august_heart,prime_earth,relatives,jorge_heart_brother_deceased
august_heart,prime_earth,affiliation,formerly_rogues_flash_family_central_city_police_department
august_heart,prime_earth,base_of_operations,mobile_formerly_central_city
august_heart,prime_earth,alignment,neutral
august_heart,prime_earth,identity,secret_identity
august_heart,prime_earth,citizenship,american
august_heart,prime_earth,marital_status,single
august_heart,prime_earth,occupation,adventurer_fugitive_former_detective_vigilante_serial_killer_prison_inmate
august_heart,prime_earth,gender,male
august_heart,prime_earth,eyes,brown
august_heart,prime_earth,hair,black
august_heart,prime_earth,universe,prime_earth
august_heart,prime_earth,creators,joshua_williamson_carmine_di_giandomenico
balam,prime_earth,real_name,balam
balam,prime_earth,main_alias,balam
balam,prime_earth,base_of_operations,hell
balam,prime_earth,alignment,neutral
